"","year","week-of-year","total-fox-density","all-fox-but-cub-density","bait-take","bait-cost","fdisperse"
"1",1,1,2.28621440043213,2.31932077034583,0.511111111111111,45,0.84
"2",1,3,2.27595191914741,2.29861254918203,0.488888888888889,90,0.84
"3",1,5,2.26550617926833,2.29861254918203,0.422222222222222,135,0.84
"4",1,7,2.22353996115761,2.25719610685442,0.266666666666667,180,0.84
"5",1,9,2.15637568632103,2.19507144336302,0.377777777777778,225,0.84
"6",1,11,2.09837434120295,2.13294677987161,0.377777777777778,270,0.84
"7",1,13,2.07647493917574,2.11223855870781,0.444444444444444,315,0.84
"8",1,15,1.99382531311491,2.0294056740526,0.555555555555556,360,0.84
"9",1,17,1.91988047028664,1.94657278939739,0.6,405,0.84
"10",1,19,1.89843921474536,1.92586456823359,0.466666666666667,450,0.84
"11",1,21,1.84895939426548,1.88444812590598,0.422222222222222,495,0.84
"12",1,23,1.85134175599229,1.88444812590598,0.4,540,0.84
"13",1,25,1.80992531366468,1.84303168357838,0.355555555555556,585,0.84
"14",1,27,1.76850887133708,1.80161524125078,0.4,630,0.84
"15",1,29,1.70226088947235,1.73949057775937,0.466666666666667,675,0.84
"16",1,31,1.68466806441283,1.71878235659557,0.311111111111111,720,0.84
"17",1,33,1.64325162208523,1.67736591426796,0.4,765,0.84
"18",1,35,1.62428435756794,1.65665769310416,0.422222222222222,810,0.84
"19",1,37,2.66849535249163,1.61524125077656,0.488888888888889,855,0.84
"20",1,39,2.67179400719031,1.63594947194036,0.333333333333333,900,0.84
"21",1,41,2.65731657823509,1.63594947194036,0.377777777777778,945,0.84
"22",1,43,2.62304722108791,1.59453302961276,0.311111111111111,990,0.84
"23",1,45,2.55918160094999,1.57382480844895,0.355555555555556,1035,0.84
"24",1,47,2.55918160094998,1.57382480844895,0.288888888888889,1080,0.84
"25",1,49,2.47781478504975,2.44357009732864,0.511111111111111,1125,0.84
"26",1,51,2.42054647430914,2.40215365500104,0.488888888888889,1170,0.84
"27",2,1,2.36144557762484,2.36073721267343,0.533333333333333,45,0.84
"28",2,3,2.2817280890739,2.27790432801822,0.511111111111111,90,0.84
"29",2,5,2.18670850789311,2.17436322219921,0.488888888888889,135,0.84
"30",2,7,2.14226829875839,2.13294677987161,0.466666666666667,180,0.84
"31",2,9,1.91838620790182,1.94657278939739,0.533333333333333,225,0.84
"32",2,11,1.82461771904797,1.86373990474218,0.488888888888889,270,0.84
"33",2,13,1.75956091804663,1.80161524125078,0.511111111111111,315,0.84
"34",2,15,1.74221126304501,1.76019879892317,0.333333333333333,360,0.84
"35",2,17,1.69648824374972,1.69807413543177,0.355555555555556,405,0.84
"36",2,19,1.63702082987667,1.65665769310416,0.533333333333333,450,0.84
"37",2,21,1.59762023208713,1.61524125077656,0.466666666666667,495,0.84
"38",2,23,1.55702845343419,1.57382480844895,0.4,540,0.84
"39",2,25,1.51698645056436,1.53240836612135,0.422222222222222,585,0.84
"40",2,27,1.45568645074762,1.47028370262994,0.466666666666667,630,0.84
"41",2,29,1.43039676472457,1.44957548146614,0.533333333333333,675,0.84
"42",2,31,1.41921799046801,1.42886726030234,0.355555555555556,720,0.84
"43",2,33,1.33684325229872,1.34603437564713,0.288888888888889,765,0.84
