"","year","week","total.fox.density","all.but.cub.density","bait.take","bait.cost","bufferwidth"
"1",1,1,2.0140119521255,2.13294677987161,0.47244094488189,127,2000
"2",1,3,1.98285799108261,2.0708221163802,0.464566929133858,254,2000
"3",1,5,1.98817249031934,2.11223855870781,0.354330708661417,381,2000
"4",1,7,1.96746426915554,2.091530337544,0.448818897637795,508,2000
"5",1,9,1.9073554502022,2.0294056740526,0.385826771653543,635,2000
"6",1,11,1.90314050253169,2.0294056740526,0.464566929133858,762,2000
"7",1,13,1.84321494217272,1.96728101056119,0.433070866141732,889,2000
"8",1,15,1.79043646699418,1.90515634706979,0.393700787401575,1016,2000
"9",1,17,1.80179849984512,1.92586456823359,0.480314960629921,1143,2000
"10",1,19,1.71392600384474,1.82232346241458,0.425196850393701,1270,2000
"11",1,21,1.76038205751752,1.88444812590598,0.346456692913386,1397,2000
"12",1,23,1.73967383635372,1.86373990474218,0.417322834645669,1524,2000
"13",1,25,1.69825739402611,1.82232346241458,0.448818897637795,1651,2000
"14",1,27,1.6190896812583,1.73949057775937,0.409448818897638,1778,2000
"15",1,29,1.59279207296621,1.69807413543177,0.385826771653543,1905,2000
"16",1,31,1.47486516748916,1.59453302961276,0.338582677165354,2032,2000
"17",1,33,1.48393646791048,1.59453302961276,0.401574803149606,2159,2000
"18",1,35,1.44975874006049,1.57382480844895,0.393700787401575,2286,2000
"19",1,37,2.57386695792575,1.51170014495755,0.409448818897638,2413,2000
"20",1,39,2.51513257843018,1.49099192379375,0.362204724409449,2540,2000
"21",1,41,2.48214603144361,1.51170014495755,0.393700787401575,2667,2000
"22",1,43,2.37264902130757,1.44957548146614,0.409448818897638,2794,2000
"23",1,45,2.20111897697729,1.40815903913854,0.346456692913386,2921,2000
"24",1,47,2.13441284862664,1.36674259681093,0.322834645669291,3048,2000
"25",1,49,2.08777353635948,2.38144543383723,0.440944881889764,3175,2000
"26",1,51,2.04360821511634,2.34002899150963,0.488188976377953,3302,2000
"27",2,1,2.01126307321004,2.31932077034583,0.393700787401575,127,2000
"28",2,3,1.9113871392784,2.21577966452682,0.440944881889764,254,2000
"29",2,5,1.82149879873996,2.11223855870781,0.440944881889764,381,2000
"30",2,7,1.81884154912159,2.11223855870781,0.456692913385827,508,2000
"31",2,9,1.6389732387475,1.82232346241458,0.52755905511811,635,2000
"32",2,11,1.66627876930862,1.80161524125078,0.354330708661417,762,2000
"33",2,13,1.7144757796279,1.86373990474218,0.464566929133858,889,2000
"34",2,15,1.68304693069344,1.82232346241458,0.385826771653543,1016,2000
"35",2,17,1.57098430023622,1.69807413543177,0.362204724409449,1143,2000
"36",2,19,1.54157129583983,1.65665769310416,0.362204724409449,1270,2000
"37",2,21,1.49566501795017,1.61524125077656,0.362204724409449,1397,2000
"38",2,23,1.43079147554321,1.55311658728515,0.307086614173228,1524,2000
"39",2,25,1.37141569096736,1.49099192379375,0.322834645669291,1651,2000
"40",2,27,1.32679222323828,1.44957548146614,0.362204724409449,1778,2000
"41",2,29,1.30709192434351,1.42886726030234,0.338582677165354,1905,2000
"42",2,31,1.2833599363726,1.40815903913854,0.330708661417323,2032,2000
"43",2,33,1.27153975703574,1.38745081797474,0.330708661417323,2159,2000
"44",2,35,1.23672062410545,1.34603437564713,0.291338582677165,2286,2000
"45",2,37,2.63599162141715,1.30461793331953,0.31496062992126,2413,2000
"46",2,39,2.5646082807394,1.26320149099192,0.275590551181102,2540,2000
"47",2,41,2.51485359537451,1.22178504866432,0.299212598425197,2667,2000
"48",2,43,2.4442990365421,1.15966038517291,0.251968503937008,2794,2000
"49",2,45,2.37658498592242,1.15966038517291,0.31496062992126,2921,2000
"50",2,47,2.31693431345499,1.11824394284531,0.307086614173228,3048,2000
"51",2,49,2.19809111500608,2.44357009732864,0.433070866141732,3175,2000
"52",2,51,2.15172669063049,2.40215365500104,0.503937007874016,3302,2000
"53",3,1,2.06660307354564,2.31932077034583,0.519685039370079,127,2000
"54",3,3,1.98303715451298,2.23648788569062,0.440944881889764,254,2000
"55",3,5,1.949867348932,2.21577966452682,0.417322834645669,381,2000
"56",3,7,1.84239927323363,2.11223855870781,0.456692913385827,508,2000
"57",3,9,1.74528530811712,1.92586456823359,0.503937007874016,635,2000
"58",3,11,1.61205631001019,1.78090702008697,0.409448818897638,762,2000
"59",3,13,1.59583997199051,1.76019879892317,0.456692913385827,889,2000
"60",3,15,1.58557544312372,1.71878235659557,0.338582677165354,1016,2000
"61",3,17,1.54754928479196,1.67736591426796,0.409448818897638,1143,2000
"62",3,19,1.43851042114185,1.57382480844895,0.338582677165354,1270,2000
"63",3,21,1.3601673720487,1.47028370262994,0.244094488188976,1397,2000
"64",3,23,1.26157424827768,1.38745081797474,0.354330708661417,1524,2000
"65",3,25,1.14575481663588,1.26320149099192,0.244094488188976,1651,2000
"66",3,27,1.10681236533227,1.22178504866432,0.330708661417323,1778,2000
"67",3,29,1.05220130421003,1.15966038517291,0.204724409448819,1905,2000
"68",3,31,0.941513113210587,1.0354110581901,0.259842519685039,2032,2000
"69",3,33,0.924011917448267,1.0354110581901,0.338582677165354,2159,2000
"70",3,35,0.916773202970654,1.0147028370263,0.244094488188976,2286,2000
"71",3,37,2.18526177022535,0.952578173534893,0.322834645669291,2413,2000
"72",3,39,2.12834893435596,0.931869952371091,0.31496062992126,2540,2000
"73",3,41,2.11484676772228,0.952578173534893,0.299212598425197,2667,2000
"74",3,43,2.12468194802705,0.973286394698695,0.21259842519685,2794,2000
"75",3,45,2.0603581814032,0.952578173534893,0.244094488188976,2921,2000
"76",3,47,2.0097788093571,0.952578173534893,0.21259842519685,3048,2000
"77",3,49,1.95929106660817,2.13294677987161,0.488188976377953,3175,2000
"78",3,51,1.90724562580711,2.091530337544,0.456692913385827,3302,2000
"79",4,1,1.87398419092897,2.0294056740526,0.417322834645669,127,2000
"80",4,3,1.82010616418419,1.98798923172499,0.417322834645669,254,2000
"81",4,5,1.76824398197749,1.92586456823359,0.362204724409449,381,2000
"82",4,7,1.72530068710374,1.88444812590598,0.362204724409449,508,2000
"83",4,9,1.5500528774231,1.69807413543177,0.425196850393701,635,2000
"84",4,11,1.48069154703612,1.65665769310416,0.417322834645669,762,2000
"85",4,13,1.43991650978882,1.61524125077656,0.393700787401575,889,2000
"86",4,15,1.3702802915103,1.51170014495755,0.433070866141732,1016,2000
"87",4,17,1.3349113827969,1.47028370262994,0.37007874015748,1143,2000
"88",4,19,1.28198049452999,1.40815903913854,0.346456692913386,1270,2000
"89",4,21,1.24936046473214,1.36674259681093,0.377952755905512,1397,2000
"90",4,23,1.22938527794581,1.34603437564713,0.37007874015748,1524,2000
"91",4,25,1.18210456059836,1.30461793331953,0.433070866141732,1651,2000
"92",4,27,1.16139633943456,1.28390971215573,0.291338582677165,1778,2000
"93",4,29,1.1416960405398,1.26320149099192,0.385826771653543,1905,2000
"94",4,31,1.10925926933631,1.22178504866432,0.362204724409449,2032,2000
"95",4,33,1.07856345477935,1.20107682750052,0.275590551181102,2159,2000
"96",4,35,1.02587660889799,1.13895216400911,0.307086614173228,2286,2000
"97",4,37,2.47406673891592,1.09753572168151,0.283464566929134,2413,2000
"98",4,39,2.40149838312755,1.07682750051771,0.283464566929134,2540,2000
"99",4,41,2.38051527407216,1.07682750051771,0.244094488188976,2667,2000
"100",4,43,2.2961246913648,1.0561192793539,0.338582677165354,2794,2000
"101",4,45,2.3021114411878,1.0561192793539,0.31496062992126,2921,2000
"102",4,47,2.15174776450729,1.0561192793539,0.236220472440945,3048,2000
"103",4,49,2.10574985732042,2.42286187616484,0.393700787401575,3175,2000
"104",4,51,2.025299334392,2.31932077034583,0.464566929133858,3302,2000
"105",5,1,1.97050501467539,2.23648788569062,0.496062992125984,127,2000
"106",5,3,1.88712235423706,2.15365500103541,0.480314960629921,254,2000
"107",5,5,1.80789385767803,2.0708221163802,0.488188976377953,381,2000
"108",5,7,1.7196548444889,1.98798923172499,0.409448818897638,508,2000
"109",5,9,1.57644325537365,1.78090702008697,0.47244094488189,635,2000
"110",5,11,1.45384621054301,1.61524125077656,0.409448818897638,762,2000
"111",5,13,1.36331646492427,1.53240836612135,0.354330708661417,889,2000
"112",5,15,1.3067832361432,1.47028370262994,0.409448818897638,1016,2000
"113",5,17,1.27061846167905,1.40815903913854,0.409448818897638,1143,2000
"114",5,19,1.35418438071174,1.49099192379375,0.409448818897638,1270,2000
"115",5,21,1.33393430603386,1.47028370262994,0.401574803149606,1397,2000
"116",5,23,1.32278637728328,1.47028370262994,0.393700787401575,1524,2000
"117",5,25,1.30207815611947,1.44957548146614,0.291338582677165,1651,2000
"118",5,27,1.23958697543932,1.36674259681093,0.330708661417323,1778,2000
"119",5,29,1.19065693074254,1.32532615448333,0.338582677165354,1905,2000
"120",5,31,1.16500072753075,1.30461793331953,0.31496062992126,2032,2000
"121",5,33,1.13678095157984,1.26320149099192,0.291338582677165,2159,2000
"122",5,35,1.08546854515626,1.22178504866432,0.322834645669291,2286,2000
"123",5,37,2.41235263083231,1.20107682750052,0.283464566929134,2413,2000
"124",5,39,2.33752234053817,1.13895216400911,0.275590551181102,2540,2000
"125",5,41,2.25368153361394,1.07682750051771,0.291338582677165,2667,2000
"126",5,43,2.13190619765514,1.0147028370263,0.196850393700787,2794,2000
"127",5,45,2.10551696006589,1.0354110581901,0.236220472440945,2921,2000
"128",5,47,2.0645586642242,1.0147028370263,0.244094488188976,3048,2000
"129",5,49,1.98172577956898,2.31932077034583,0.433070866141732,3175,2000
"130",5,51,1.89651053318695,2.21577966452682,0.47244094488189,3302,2000
"131",6,1,1.87177062294702,2.17436322219921,0.433070866141732,127,2000
"132",6,3,1.83310305953496,2.11223855870781,0.511811023622047,254,2000
"133",6,5,1.71572592984101,1.96728101056119,0.393700787401575,381,2000
"134",6,7,1.70769339719471,1.96728101056119,0.456692913385827,508,2000
"135",6,9,1.64889823390793,1.86373990474218,0.393700787401575,635,2000
"136",6,11,1.60995668982511,1.82232346241458,0.401574803149606,762,2000
"137",6,13,1.55332978416478,1.73949057775937,0.377952755905512,889,2000
"138",6,15,1.4275227591298,1.59453302961276,0.322834645669291,1016,2000
"139",6,17,1.39691857387002,1.55311658728515,0.330708661417323,1143,2000
"140",6,19,1.33937537523785,1.49099192379375,0.354330708661417,1270,2000
"141",6,21,1.33286969513772,1.49099192379375,0.259842519685039,1397,2000
"142",6,23,1.2842145383325,1.42886726030234,0.322834645669291,1524,2000
"143",6,25,1.22208987484109,1.36674259681093,0.330708661417323,1651,2000
"144",6,27,1.17673337273453,1.30461793331953,0.31496062992126,1778,2000
