"","year","week","total.fox.density","all.but.cub.density","bait.take","bait.cost"
"1",1,1,1.97589416449657,1.88444812590598,0,0
"2",1,3,1.91376950100516,1.82232346241458,0,0
"3",1,5,1.91376950100516,1.82232346241458,0,0
"4",1,7,1.87235305867755,1.78090702008697,0,0
"5",1,9,1.83286083159083,1.71878235659557,0,0
"6",1,11,1.79611748341967,1.69807413543177,0,0
"7",1,13,1.78952017402235,1.69807413543177,0,0
"8",1,15,1.76881195285855,1.67736591426796,0,0
"9",1,17,1.74810373169474,1.65665769310416,0,0
"10",1,19,1.6953252565162,1.61524125077656,0,0
"11",1,21,1.62541210276407,1.53240836612135,0,0
"12",1,23,1.59517443469304,1.51170014495755,0,0
"13",1,25,1.58243796238433,1.49099192379375,0,0
"14",1,27,1.47752241710754,1.38745081797474,0,0
"15",1,29,1.45488998070286,1.36674259681093,0,0
"16",1,31,1.41677219307391,1.32532615448333,0,0
"17",1,33,1.40385246217083,1.32532615448333,0,0
"18",1,35,1.35079909910074,1.26320149099192,0,0
"19",1,37,2.78818788404144,1.22178504866432,0,0
"20",1,39,2.73944109793905,1.22178504866432,0,0
"21",1,41,2.59521658416991,1.13895216400911,0,0
"22",1,43,2.55737368443252,1.13895216400911,0,0
"23",1,45,2.54069715234485,1.13895216400911,0,0
"24",1,47,2.46831000756871,1.09753572168151,0,0
"25",1,49,2.42900103907636,2.17436322219921,0,0
"26",1,51,2.36174513494259,2.13294677987161,0,0
"27",2,1,2.33865455205198,2.11223855870781,0,0
"28",2,3,2.26342689906312,2.0501138952164,0,0
"29",2,5,2.22503422354261,2.0294056740526,0,0
"30",2,7,2.09510388013431,1.92586456823359,0,0
"31",2,9,1.89709296891751,1.73949057775937,0,0
"32",2,11,1.76184812627252,1.63594947194036,0,0
"33",2,13,1.69825739402615,1.57382480844895,0,0
"34",2,15,1.65235111613649,1.55311658728515,0,0
"35",2,17,1.63200941216142,1.53240836612135,0,0
"36",2,19,1.58976830615914,1.51170014495755,0,0
"37",2,21,1.51170014495755,1.42886726030234,0,0
"38",2,23,1.43995440526172,1.34603437564713,0,0
"39",2,25,1.3730650183167,1.28390971215573,0,0
"40",2,27,1.29627966727568,1.20107682750052,0,0
"41",2,29,1.28830791842059,1.20107682750052,0,0
"42",2,31,1.28656696177408,1.20107682750052,0,0
"43",2,33,1.28061105745705,1.20107682750052,0,0
"44",2,35,1.2407523131816,1.13895216400911,0,0
"45",2,37,2.60236366935033,1.11824394284531,0,0
"46",2,39,2.50193795963563,1.0354110581901,0,0
"47",2,41,2.43678952933712,0.993994615862497,0,0
"48",2,43,2.33059117389972,0.973286394698695,0,0
"49",2,45,2.2562798138827,0.973286394698695,0,0
"50",2,47,2.19168115936729,0.952578173534893,0,0
"51",2,49,2.12076008334611,1.88444812590598,0,0
"52",2,51,1.95875948592306,1.73949057775937,0,0
"53",3,1,1.91624349202924,1.69807413543177,0,0
"54",3,3,1.80656322329883,1.59453302961276,0,0
"55",3,5,1.74407204261867,1.53240836612135,0,0
"56",3,7,1.68194737912726,1.47028370262994,0,0
"57",3,9,1.50684379220678,1.34603437564713,0,0
"58",3,11,1.49667294021925,1.36674259681093,0,0
"59",3,13,1.39670537699043,1.28390971215573,0,0
"60",3,15,1.35446427098814,1.26320149099192,0,0
"61",3,17,1.36729237259404,1.28390971215573,0,0
"62",3,19,1.29261449538829,1.20107682750052,0,0
"63",3,21,1.19447951810318,1.09753572168151,0,0
"64",3,23,1.13629491439073,1.0354110581901,0,0
"65",3,25,1.13876890541473,1.0354110581901,0,0
"66",3,27,1.13217159601741,1.0354110581901,0,0
"67",3,29,1.06207518367091,0.952578173534893,0,0
"68",3,31,1.03220403278861,0.931869952371091,0,0
"69",3,33,0.981801315423565,0.890453510043487,0,0
"70",3,35,0.931588460566202,0.828328846552081,0,0
"71",3,37,2.09977697429076,0.828328846552081,0,0
"72",3,39,2.03435365610071,0.766204183060675,0,0
"73",3,41,2.03847697447404,0.786912404224477,0,0
"74",3,43,2.00787278921426,0.786912404224477,0,0
"75",3,45,1.9667312347782,0.786912404224477,0,0
"76",3,47,1.86978743835648,0.766204183060675,0,0
"77",3,49,1.84138235622914,1.57382480844895,0,0
"78",3,51,1.81673407528638,1.55311658728515,0,0
"79",4,1,1.73399281992833,1.47028370262994,0,0
"80",4,3,1.61725709531467,1.34603437564713,0,0
"81",4,5,1.59242555577755,1.32532615448333,0,0
"82",4,7,1.51820582505771,1.24249326982812,0,0
"83",4,9,1.58784409091828,1.42886726030234,0,0
"84",4,11,1.53396606417352,1.38745081797474,0,0
