"","year","week-of-year","total-fox-density","all-fox-but-cub-density","bait-take","bait-cost","farmforest"
"1",1,1,2.0836883042148,2.0501138952164,0.288888888888889,45,1.5
"2",1,3,2.00583551684241,1.98798923172499,0.333333333333333,90,1.5
"3",1,5,1.99629142097915,2.0086974528888,0.422222222222222,135,1.5
"4",1,7,1.91442013889325,1.88444812590598,0.466666666666667,180,1.5
"5",1,9,1.90580274293292,1.88444812590598,0.488888888888889,225,1.5
"6",1,11,1.85472361252943,1.84303168357838,0.555555555555556,270,1.5
"7",1,13,1.78155341595011,1.76019879892317,0.422222222222222,315,1.5
"8",1,15,1.7401369736225,1.71878235659557,0.288888888888889,360,1.5
"9",1,17,1.7401369736225,1.71878235659557,0.355555555555556,405,1.5
"10",1,19,1.6780123101311,1.65665769310416,0.444444444444444,450,1.5
"11",1,21,1.63659586780349,1.61524125077656,0.4,495,1.5
"12",1,23,1.5652166452964,1.55311658728515,0.355555555555556,540,1.5
"13",1,25,1.53769145831706,1.51170014495755,0.333333333333333,585,1.5
"14",1,27,1.50151663959935,1.47028370262994,0.244444444444444,630,1.5
"15",1,29,1.44613915892909,1.42886726030234,0.311111111111111,675,1.5
"16",1,31,1.36321694526371,1.32532615448333,0.333333333333333,720,1.5
"17",1,33,1.31296283637104,1.28390971215573,0.4,765,1.5
"18",1,35,1.21835394080272,1.20107682750052,0.266666666666667,810,1.5
"19",1,37,2.41558841051964,1.20107682750052,0.266666666666667,855,1.5
"20",1,39,2.28993850621797,1.13895216400911,0.2,900,1.5
"21",1,41,2.227294464595,1.11824394284531,0.266666666666667,945,1.5
"22",1,43,2.15455315100585,1.09753572168151,0.333333333333333,990,1.5
"23",1,45,2.12422085520126,1.07682750051771,0.222222222222222,1035,1.5
"24",1,47,2.04565641422276,1.0561192793539,0.266666666666667,1080,1.5
"25",1,49,2.01560811887515,1.92586456823359,0.511111111111111,1125,1.5
"26",1,51,1.97837213710671,1.88444812590598,0.577777777777778,1170,1.5
"27",2,1,1.91749927460867,1.82232346241458,0.377777777777778,45,1.5
"28",2,3,1.90922452271541,1.82232346241458,0.377777777777778,90,1.5
"29",2,5,1.87525704635453,1.78090702008697,0.488888888888889,135,1.5
"30",2,7,1.7916993875605,1.69807413543177,0.422222222222222,180,1.5
"31",2,9,1.85370229225385,1.78090702008697,0.488888888888889,225,1.5
"32",2,11,1.79899820074378,1.73949057775937,0.444444444444444,270,1.5
"33",2,13,1.92721264403127,1.88444812590598,0.355555555555556,315,1.5
"34",2,15,1.84992871214755,1.80161524125078,0.422222222222222,360,1.5
"35",2,17,1.81702163683361,1.78090702008697,0.488888888888889,405,1.5
"36",2,19,1.69548866296804,1.65665769310416,0.4,450,1.5
"37",2,21,1.66572723379192,1.63594947194036,0.311111111111111,495,1.5
"38",2,23,1.54411880445936,1.51170014495755,0.355555555555556,540,1.5
"39",2,25,1.43412212867045,1.40815903913854,0.4,585,1.5
"40",2,27,1.3406666756679,1.30461793331953,0.333333333333333,630,1.5
"41",2,29,1.31045515089063,1.28390971215573,0.244444444444444,675,1.5
"42",2,31,1.24097627796402,1.22178504866432,0.333333333333333,720,1.5
"43",2,33,1.22825105837602,1.20107682750052,0.2,765,1.5
"44",2,35,1.18250348482461,1.15966038517291,0.355555555555556,810,1.5
"45",2,37,2.69694697672556,1.13895216400911,0.222222222222222,855,1.5
"46",2,39,2.55251018903705,1.07682750051771,0.355555555555556,900,1.5
"47",2,41,2.32974377761455,0.973286394698695,0.311111111111111,945,1.5
"48",2,43,2.23380205297026,0.973286394698695,0.2,990,1.5
"49",2,45,2.18694986440199,0.973286394698695,0.266666666666667,1035,1.5
"50",2,47,2.10983937134023,0.952578173534893,0.288888888888889,1080,1.5
"51",2,49,2.0216639007679,1.92586456823359,0.4,1125,1.5
"52",2,51,1.95338700826847,1.86373990474218,0.444444444444444,1170,1.5
"53",3,1,1.9012889557799,1.80161524125078,0.488888888888889,45,1.5
"54",3,3,1.85156913268433,1.76019879892317,0.377777777777778,90,1.5
"55",3,5,1.83303959716086,1.73949057775937,0.422222222222222,135,1.5
"56",3,7,1.81561549917722,1.71878235659557,0.266666666666667,180,1.5
"57",3,9,1.85314764719445,1.78090702008697,0.466666666666667,225,1.5
"58",3,11,1.80324885936174,1.76019879892317,0.355555555555556,270,1.5
"59",3,13,1.72805987648567,1.67736591426796,0.488888888888889,315,1.5
"60",3,15,1.64094584759153,1.59453302961276,0.422222222222222,360,1.5
"61",3,17,1.61324450618216,1.57382480844895,0.444444444444444,405,1.5
"62",3,19,1.57280281964461,1.53240836612135,0.355555555555556,450,1.5
"63",3,21,1.41913150887414,1.36674259681093,0.266666666666667,495,1.5
"64",3,23,1.31589458268287,1.28390971215573,0.333333333333333,540,1.5
"65",3,25,1.29085620657735,1.26320149099192,0.266666666666667,585,1.5
"66",3,27,1.22280045512326,1.20107682750052,0.288888888888889,630,1.5
"67",3,29,1.19594349824606,1.15966038517291,0.4,675,1.5
"68",3,31,1.17305546432817,1.13895216400911,0.311111111111111,720,1.5
"69",3,33,1.17305546432817,1.13895216400911,0.244444444444444,765,1.5
