"","year","week","total.fox.density","all.but.cub.density","bait.take","bait.cost","farmforest"
"1",1,1,1.68965310146248,1.63594947194036,0.377777777777778,45,120
"2",1,3,1.63251754637781,1.57382480844895,0.422222222222222,90,120
"3",1,5,1.6134531806286,1.53240836612135,0.444444444444444,135,120
"4",1,7,1.58444581692914,1.53240836612135,0.444444444444444,180,120
"5",1,9,1.5974934922002,1.53240836612135,0.466666666666667,225,120
"6",1,11,1.59014738213407,1.53240836612135,0.444444444444444,270,120
"7",1,13,1.51043818656302,1.44957548146614,0.4,315,120
"8",1,15,1.43065761694254,1.36674259681093,0.4,360,120
"9",1,17,1.43555872490346,1.36674259681093,0.422222222222222,405,120
"10",1,19,1.40689708074401,1.34603437564713,0.355555555555556,450,120
"11",1,21,1.3654806384164,1.30461793331953,0.466666666666667,495,120
"12",1,23,1.29164853133212,1.22178504866432,0.311111111111111,540,120
"13",1,25,1.28264775376119,1.22178504866432,0.333333333333333,585,120
"14",1,27,1.21835312310176,1.15966038517291,0.422222222222222,630,120
"15",1,29,1.19563875713422,1.13895216400911,0.355555555555556,675,120
"16",1,31,1.15610560088503,1.09753572168151,0.311111111111111,720,120
"17",1,33,1.06840646654842,1.0147028370263,0.355555555555556,765,120
"18",1,35,1.06488156607141,1.0147028370263,0.2,810,120
"19",1,37,2.33004946800342,0.973286394698695,0.311111111111111,855,120
"20",1,39,2.29411279117528,0.973286394698695,0.355555555555556,900,120
"21",1,41,2.23084857694776,0.931869952371091,0.0888888888888889,945,120
"22",1,43,2.21485657966109,0.931869952371091,0.244444444444444,990,120
"23",1,45,2.10722921310348,0.890453510043487,0.333333333333333,1035,120
"24",1,47,2.09378812213742,0.890453510043487,0.244444444444444,1080,120
"25",1,49,2.00037069642518,1.82232346241458,0.533333333333333,1125,120
"26",1,51,1.93085804244723,1.78090702008697,0.444444444444444,1170,120
"27",2,1,1.89348767295823,1.76019879892317,0.377777777777778,45,120
"28",2,3,1.83720594324605,1.69807413543177,0.355555555555556,90,120
"29",2,5,1.74254771239525,1.61524125077656,0.422222222222222,135,120
"30",2,7,1.65747244715817,1.51170014495755,0.444444444444444,180,120
"31",2,9,1.54688334932677,1.40815903913854,0.466666666666667,225,120
"32",2,11,1.64320105108427,1.53240836612135,0.422222222222222,270,120
"33",2,13,1.57933600484756,1.47028370262994,0.377777777777778,315,120
"34",2,15,1.5872926973508,1.49099192379375,0.444444444444444,360,120
"35",2,17,1.56488596130381,1.49099192379375,0.4,405,120
"36",2,19,1.56723221296276,1.49099192379375,0.377777777777778,450,120
"37",2,21,1.51205483097936,1.42886726030234,0.355555555555556,495,120
"38",2,23,1.43633693446943,1.36674259681093,0.6,540,120
