"","year","week","total.fox.density","all.but.cub.density","bait.take","bait.cost","littersize"
"1",1,1,1.73400175937188,1.73949057775937,0.422222222222222,45,2.992
"2",1,3,1.67389294041855,1.67736591426796,0.4,90,2.992
"3",1,5,1.5699853174108,1.55311658728515,0.422222222222222,135,2.992
"4",1,7,1.53269219345652,1.53240836612135,0.333333333333333,180,2.992
"5",1,9,1.53443315010303,1.53240836612135,0.333333333333333,225,2.992
"6",1,11,1.49301670777543,1.49099192379375,0.2,270,2.992
"7",1,13,1.49301670777543,1.49099192379375,0.333333333333333,315,2.992
"8",1,15,1.45160026544782,1.44957548146614,0.4,360,2.992
"9",1,17,1.47230848661163,1.47028370262994,0.333333333333333,405,2.992
"10",1,19,1.47230848661163,1.47028370262994,0.311111111111111,450,2.992
"11",1,21,1.41192477976673,1.40815903913854,0.355555555555556,495,2.992
"12",1,23,1.36876738079261,1.36674259681093,0.355555555555556,540,2.992
"13",1,25,1.31424794896756,1.30461793331953,0.311111111111111,585,2.992
"14",1,27,1.32735093846501,1.32532615448333,0.222222222222222,630,2.992
"15",1,29,1.29473090866716,1.28390971215573,0.377777777777778,675,2.992
"16",1,31,1.28391418187753,1.28390971215573,0.333333333333333,720,2.992
"17",1,33,1.24360176083795,1.24249326982812,0.355555555555556,765,2.992
"18",1,35,1.23013225415176,1.22178504866432,0.288888888888889,810,2.992
"19",1,37,2.47969885875049,1.20107682750052,0.266666666666667,855,2.992
"20",1,39,2.42718246306712,1.13895216400911,0.333333333333333,900,2.992
"21",1,41,2.354795318291,1.07682750051771,0.355555555555556,945,2.992
"22",1,43,2.34040951863297,1.07682750051771,0.244444444444444,990,2.992
"23",1,45,2.24025869680978,1.0354110581901,0.355555555555556,1035,2.992
"24",1,47,2.13094494526812,0.973286394698695,0.266666666666667,1080,2.992
"25",1,49,2.01841969860316,1.94657278939739,0.6,1125,2.992
"26",1,51,1.95482896635678,1.88444812590598,0.422222222222222,1170,2.992
"27",2,1,1.91570325645879,1.86373990474218,0.355555555555556,45,2.992
"28",2,3,1.89847694858803,1.84303168357838,0.377777777777778,90,2.992
"29",2,5,1.86237500549715,1.80161524125078,0.422222222222222,135,2.992
"30",2,7,1.85513629101955,1.80161524125078,0.311111111111111,180,2.992
"31",2,9,1.80290312190227,1.78090702008697,0.355555555555556,225,2.992
"32",2,11,1.8167346760554,1.78090702008697,0.488888888888889,270,2.992
"33",2,13,1.63153905804818,1.59453302961276,0.311111111111111,315,2.992
"34",2,15,1.63455388541166,1.61524125077656,0.377777777777778,360,2.992
"35",2,17,1.58985606650359,1.57382480844895,0.311111111111111,405,2.992
"36",2,19,1.52817674110172,1.51170014495755,0.355555555555556,450,2.992
"37",2,21,1.39916269066529,1.36674259681093,0.422222222222222,495,2.992
"38",2,23,1.39448959650886,1.38745081797474,0.377777777777778,540,2.992
"39",2,25,1.35261500769532,1.34603437564713,0.377777777777778,585,2.992
"40",2,27,1.26171874488783,1.22178504866432,0.311111111111111,630,2.992
"41",2,29,1.26391784802027,1.24249326982812,0.444444444444444,675,2.992
"42",2,31,1.16405472248503,1.13895216400911,0.333333333333333,720,2.992
"43",2,33,1.01001306552071,0.993994615862497,0.266666666666667,765,2.992
"44",2,35,1.02833892495772,1.0147028370263,0.2,810,2.992
"45",2,37,2.09232164652046,0.993994615862497,0.244444444444444,855,2.992
"46",2,39,2.02332478574019,0.973286394698695,0.244444444444444,900,2.992
"47",2,41,1.90319430740889,0.911161731207289,0.222222222222222,945,2.992
"48",2,43,1.85646783556636,0.890453510043487,0.266666666666667,990,2.992
"49",2,45,1.82852089992494,0.869745288879685,0.244444444444444,1035,2.992
"50",2,47,1.77024466691531,0.849037067715883,0.222222222222222,1080,2.992
"51",2,49,1.70821997139565,1.63594947194036,0.377777777777778,1125,2.992
"52",2,51,1.65306360421212,1.59453302961276,0.422222222222222,1170,2.992
"53",3,1,1.60239260286882,1.53240836612135,0.377777777777778,45,2.992
"54",3,3,1.46679405143143,1.38745081797474,0.355555555555556,90,2.992
"55",3,5,1.39871348362299,1.30461793331953,0.2,135,2.992
"56",3,7,1.38047925348318,1.28390971215573,0.311111111111111,180,2.992
"57",3,9,1.25228986672144,1.18036860633672,0.288888888888889,225,2.992
"58",3,11,1.19474219836747,1.18036860633672,0.355555555555556,270,2.992
"59",3,13,1.19327165989069,1.18036860633672,0.288888888888889,315,2.992
"60",3,15,1.12326687684138,1.11824394284531,0.311111111111111,360,2.992
"61",3,17,1.0601470994773,1.0354110581901,0.288888888888889,405,2.992
"62",3,19,0.986647594738559,0.973286394698695,0.311111111111111,450,2.992
"63",3,21,0.956409926667524,0.952578173534893,0.177777777777778,495,2.992
"64",3,23,0.960441615743665,0.952578173534893,0.222222222222222,540,2.992
"65",3,25,0.904181227272094,0.911161731207289,0.222222222222222,585,2.992
"66",3,27,0.865880181048773,0.869745288879685,0.155555555555556,630,2.992
"67",3,29,0.81062771484623,0.828328846552081,0.177777777777778,675,2.992
"68",3,31,0.823913962938051,0.828328846552081,0.133333333333333,720,2.992
"69",3,33,0.834817849303062,0.849037067715883,0.155555555555556,765,2.992
"70",3,35,0.814384516030813,0.828328846552081,0.311111111111111,810,2.992
"71",3,37,1.78546853941344,0.786912404224477,0.288888888888889,855,2.992
"72",3,39,1.76074857470634,0.807620625388279,0.311111111111111,900,2.992
"73",3,41,1.65134319386747,0.766204183060675,0.266666666666667,945,2.992
"74",3,43,1.56695261116013,0.766204183060675,0.0888888888888889,990,2.992
"75",3,45,1.48943422574163,0.745495961896873,0.177777777777778,1035,2.992
"76",3,47,1.44911733498024,0.745495961896873,0.111111111111111,1080,2.992
"77",3,49,1.42639326927836,1.55311658728515,0.355555555555556,1125,2.992
"78",3,51,1.37379805269419,1.49099192379375,0.288888888888889,1170,2.992
"79",4,1,1.35308983153038,1.47028370262994,0.288888888888889,45,2.992
"80",4,3,1.32944947285666,1.44957548146614,0.311111111111111,90,2.992
"81",4,5,1.32834992129044,1.44957548146614,0.377777777777778,135,2.992
"82",4,7,1.27896173010773,1.40815903913854,0.333333333333333,180,2.992
"83",4,9,1.25742884526929,1.34603437564713,0.377777777777778,225,2.992
"84",4,11,1.22169341936715,1.30461793331953,0.222222222222222,270,2.992
"85",4,13,1.28995724576995,1.36674259681093,0.4,315,2.992
"86",4,15,1.23076471978846,1.32532615448333,0.444444444444444,360,2.992
"87",4,17,1.21665380802197,1.30461793331953,0.266666666666667,405,2.992
"88",4,19,1.15031419686005,1.22178504866432,0.377777777777778,450,2.992
"89",4,21,1.12374170067641,1.20107682750052,0.355555555555556,495,2.992
"90",4,23,1.12731524326662,1.20107682750052,0.377777777777778,540,2.992
"91",4,25,1.10569072913097,1.18036860633672,0.422222222222222,585,2.992
"92",4,27,1.01800149172495,1.09753572168151,0.288888888888889,630,2.992
"93",4,29,0.960275034498422,1.0354110581901,0.2,675,2.992
"94",4,31,0.981533031445337,1.0561192793539,0.266666666666667,720,2.992
"95",4,33,0.962840654819602,1.0354110581901,0.288888888888889,765,2.992
"96",4,35,0.939658442631809,1.0147028370263,0.155555555555556,810,2.992
"97",4,37,2.02070089082008,1.0147028370263,0.2,855,2.992
"98",4,39,1.93759311827333,0.993994615862497,0.244444444444444,900,2.992
"99",4,41,1.88380672082575,0.952578173534893,0.244444444444444,945,2.992
"100",4,43,1.75002794693568,0.869745288879685,0.333333333333333,990,2.992
"101",4,45,1.70476307412629,0.849037067715883,0.2,1035,2.992
"102",4,47,1.64245515204052,0.807620625388279,0.355555555555556,1080,2.992
"103",4,49,1.61120956170046,1.76019879892317,0.377777777777778,1125,2.992
"104",4,51,1.57529087720395,1.73949057775937,0.511111111111111,1170,2.992
