"","year","week","total.fox.density","all.but.cub.density","bait.take","bait.cost","baitdensity"
"1",1,1,2.07677802069721,2.0708221163802,0.543478260869565,46,1
"2",1,3,2.01740223612135,2.0086974528888,0.456521739130435,92,1
"3",1,5,2.00338295365205,2.0086974528888,0.347826086956522,138,1
"4",1,7,1.86190731879847,1.86373990474218,0.41304347826087,184,1
"5",1,9,1.82122391084834,1.82232346241458,0.391304347826087,230,1
"6",1,11,1.80069894827891,1.80161524125078,0.391304347826087,276,1
"7",1,13,1.76615470324018,1.76019879892317,0.391304347826087,322,1
"8",1,15,1.71823258081244,1.71878235659557,0.478260869565217,368,1
"9",1,17,1.71823258081244,1.71878235659557,0.456521739130435,414,1
"10",1,19,1.71823258081244,1.71878235659557,0.347826086956522,460,1
"11",1,21,1.67754917286232,1.67736591426796,0.391304347826087,506,1
"12",1,23,1.61469147499343,1.61524125077656,0.5,552,1
"13",1,25,1.5618213705177,1.55311658728515,0.434782608695652,598,1
"14",1,27,1.53185859033823,1.53240836612135,0.543478260869565,644,1
"15",1,29,1.4387632243983,1.42886726030234,0.369565217391304,690,1
"16",1,31,1.39633885980166,1.38745081797474,0.260869565217391,736,1
"17",1,33,1.39093273126775,1.38745081797474,0.347826086956522,782,1
"18",1,35,1.32001165524659,1.32532615448333,0.347826086956522,828,1
"19",1,37,2.68400537314208,1.30461793331953,0.369565217391304,874,1
"20",1,39,2.61143496977159,1.28390971215573,0.304347826086957,920,1
"21",1,41,2.5156823542133,1.22178504866432,0.282608695652174,966,1
"22",1,43,2.4742659118857,1.20107682750052,0.282608695652174,1012,1
"23",1,45,2.32225290785583,1.18036860633672,0.326086956521739,1058,1
"24",1,47,2.21669595749873,1.13895216400911,0.304347826086957,1104,1
"25",1,49,2.15191404438898,2.11223855870781,0.456521739130435,1150,1
"26",1,51,2.03187966507667,2.0086974528888,0.521739130434783,1196,1
"27",2,1,1.9072638209051,1.88444812590598,0.5,46,1
"28",2,3,1.83203616791624,1.80161524125078,0.391304347826087,92,1
"29",2,5,1.75094423990752,1.71878235659557,0.5,138,1
"30",2,7,1.67983990529199,1.63594947194036,0.326086956521739,184,1
"31",2,9,1.67883198302296,1.63594947194036,0.391304347826087,230,1
"32",2,11,1.64172211766305,1.61524125077656,0.391304347826087,276,1
"33",2,13,1.61725709531466,1.59453302961276,0.282608695652174,322,1
"34",2,15,1.55018444977526,1.51170014495755,0.434782608695652,368,1
"35",2,17,1.48155410618371,1.44957548146614,0.391304347826087,414,1
"36",2,19,1.44673497325341,1.42886726030234,0.369565217391304,460,1
"37",2,21,1.384610309762,1.36674259681093,0.369565217391304,506,1
"38",2,23,1.29536337430384,1.26320149099192,0.217391304347826,552,1
"39",2,25,1.22016788904698,1.18036860633672,0.239130434782609,598,1
"40",2,27,1.16556613450621,1.09753572168151,0.391304347826087,644,1
"41",2,29,1.12552413163638,1.07682750051771,0.260869565217391,690,1
"42",2,31,1.06722417449127,1.0147028370263,0.195652173913043,736,1
"43",2,33,0.983933143350129,0.952578173534893,0.369565217391304,782,1
"44",2,35,0.942333442428159,0.911161731207289,0.391304347826087,828,1
"45",2,37,2.40059595694895,0.869745288879685,0.282608695652174,874,1
"46",2,39,2.41030866245057,0.911161731207289,0.195652173913043,920,1
"47",2,41,2.40316157727015,0.911161731207289,0.260869565217391,966,1
"48",2,43,2.34827562825636,0.869745288879685,0.282608695652174,1012,1
"49",2,45,2.28633422335931,0.869745288879685,0.260869565217391,1058,1
"50",2,47,2.16749102491046,0.828328846552081,0.260869565217391,1104,1
