"","year","week","total.fox.density","all.but.cub.density","bait.take","bait.cost","HRsize"
"1",1,1,1.74086604094528,1.69807413543177,0.466666666666667,45,171
"2",1,3,1.73640404853981,1.67736591426796,0.488888888888889,90,171
"3",1,5,1.63332058296752,1.57382480844895,0.466666666666667,135,171
"4",1,7,1.58950152934467,1.53240836612135,0.4,180,171
"5",1,9,1.56411806625216,1.51170014495755,0.177777777777778,225,171
"6",1,11,1.57521584223496,1.53240836612135,0.444444444444444,270,171
"7",1,13,1.54558363626024,1.49099192379375,0.311111111111111,315,171
"8",1,15,1.50325191343922,1.44957548146614,0.355555555555556,360,171
"9",1,17,1.433232955692,1.38745081797474,0.4,405,171
"10",1,19,1.46275075160503,1.40815903913854,0.333333333333333,450,171
"11",1,21,1.46275075160503,1.40815903913854,0.533333333333333,495,171
"12",1,23,1.43025829408835,1.38745081797474,0.311111111111111,540,171
"13",1,25,1.42133430927743,1.36674259681093,0.377777777777778,585,171
"14",1,27,1.43986873926933,1.38745081797474,0.377777777777778,630,171
"15",1,29,1.42133430927742,1.36674259681093,0.4,675,171
"16",1,31,1.42133430927742,1.36674259681093,0.377777777777778,720,171
"17",1,33,1.30875480858584,1.26320149099192,0.288888888888889,765,171
"18",1,35,1.21573942844125,1.18036860633672,0.311111111111111,810,171
"19",1,37,3.11974118918582,1.15966038517291,0.333333333333333,855,171
"20",1,39,3.08496847369823,1.13895216400911,0.266666666666667,900,171
"21",1,41,2.96804139066287,1.09753572168151,0.288888888888889,945,171
"22",1,43,2.95042224116436,1.07682750051771,0.244444444444444,990,171
"23",1,45,2.88223384440402,1.07682750051771,0.222222222222222,1035,171
"24",1,47,2.781896220312,1.07682750051771,0.355555555555556,1080,171
"25",1,49,2.68018567547982,2.52640298198385,0.644444444444444,1125,171
"26",1,51,2.70066507652029,2.54711120314765,0.555555555555556,1170,171
"27",2,1,2.62079128286861,2.46427831849244,0.711111111111111,45,171
"28",2,3,2.5085705829621,2.38144543383723,0.422222222222222,90,171
"29",2,5,2.43031410077404,2.29861254918203,0.511111111111111,135,171
"30",2,7,2.36132483358194,2.23648788569062,0.644444444444444,180,171
"31",2,9,2.167072119452,2.091530337544,0.622222222222222,225,171
"32",2,11,2.0364158290152,2.0294056740526,0.733333333333333,270,171
"33",2,13,1.96674010145301,1.96728101056119,0.555555555555556,315,171
"34",2,15,1.86800421822448,1.84303168357838,0.6,360,171
"35",2,17,1.9103359410455,1.88444812590598,0.422222222222222,405,171
"36",2,19,1.84569425619718,1.80161524125078,0.511111111111111,450,171
"37",2,21,1.81091359744692,1.76019879892317,0.333333333333333,495,171
"38",2,23,1.71011833310819,1.65665769310416,0.311111111111111,540,171
"39",2,25,1.65188361171385,1.59453302961276,0.511111111111111,585,171
"40",2,27,1.59111629836247,1.55311658728515,0.466666666666667,630,171
"41",2,29,1.47351832555712,1.42886726030234,0.333333333333333,675,171
"42",2,31,1.34114588419514,1.28390971215573,0.422222222222222,720,171
"43",2,33,1.32772876577853,1.28390971215573,0.333333333333333,765,171
