"","year","week-of-year","total-fox-density","all-fox-but-cub-density","bait-take","bait-cost","HRsize"
"1",1,1,1.72293970277119,1.73949057775937,0,0,321
"2",1,3,1.72036649185735,1.73949057775937,0,0,321
"3",1,5,1.70223148160739,1.71878235659557,0,0,321
"4",1,7,1.65824182836594,1.67736591426796,0,0,321
"5",1,9,1.63753360720214,1.65665769310416,0,0,321
"6",1,11,1.57835415859758,1.59453302961276,0,0,321
"7",1,13,1.57540894371073,1.59453302961276,0,0,321
"8",1,15,1.5594795428155,1.57382480844895,0,0,321
"9",1,17,1.57320333435601,1.59453302961276,0,0,321
"10",1,19,1.51585749113317,1.53240836612135,0,0,321
"11",1,21,1.49257605905552,1.51170014495755,0,0,321
"12",1,23,1.48289588466534,1.49099192379375,0,0,321
"13",1,25,1.41911701415789,1.44957548146614,0,0,321
"14",1,27,1.32948350065895,1.34603437564713,0,0,321
"15",1,29,1.32691028974511,1.34603437564713,0,0,321
"16",1,31,1.29064467165908,1.30461793331953,0,0,321
"17",1,33,1.28531004663794,1.30461793331953,0,0,321
"18",1,35,1.2854938474175,1.30461793331953,0,0,321
"19",1,37,2.09308365590862,1.24249326982812,0,0,321
"20",1,39,2.07513244643823,1.24249326982812,0,0,321
"21",1,41,2.01968587793752,1.22178504866432,0,0,321
"22",1,43,1.98636107232446,1.22178504866432,0,0,321
"23",1,45,1.96565285116065,1.20107682750052,0,0,321
"24",1,47,1.93312011317847,1.20107682750052,0,0,321
"25",1,49,1.90334438688969,1.92586456823359,0,0,321
"26",1,51,1.83956551638224,1.84303168357838,0,0,321
"27",2,1,1.79759767171595,1.80161524125078,0,0,321
"28",2,3,1.73069859036986,1.71878235659557,0,0,321
"29",2,5,1.74037876476004,1.73949057775937,0,0,321
"30",2,7,1.67182107398402,1.67736591426796,0,0,321
"31",2,9,1.81195614459106,1.82232346241458,0,0,321
"32",2,11,1.72594178217069,1.73949057775937,0,0,321
"33",2,13,1.69365411189458,1.71878235659557,0,0,321
"34",2,15,1.55690633190166,1.59453302961276,0,0,321
"35",2,17,1.50550338055127,1.51170014495755,0,0,321
"36",2,19,1.47621778967465,1.49099192379375,0,0,321
"37",2,21,1.36299650946546,1.36674259681093,0,0,321
"38",2,23,1.34228828830166,1.34603437564713,0,0,321
"39",2,25,1.28880226144959,1.30461793331953,0,0,321
"40",2,27,1.24585414595898,1.26320149099192,0,0,321
"41",2,29,1.23788944551137,1.22178504866432,0,0,321
"42",2,31,1.1847097532919,1.18036860633672,0,0,321
"43",2,33,1.13924969381397,1.13895216400911,0,0,321
"44",2,35,1.04998378187414,1.0561192793539,0,0,321
"45",2,37,1.85167032021775,1.0354110581901,0,0,321
"46",2,39,1.79046466062415,0.973286394698695,0,0,321
"47",2,41,1.73918424312681,0.973286394698695,0,0,321
"48",2,43,1.65432954989644,0.931869952371091,0,0,321
"49",2,45,1.56255169396929,0.890453510043487,0,0,321
"50",2,47,1.46679148781834,0.849037067715883,0,0,321
"51",2,49,1.45073955307007,1.44957548146614,0,0,321
"52",2,51,1.3793023167476,1.38745081797474,0,0,321
"53",3,1,1.37225662019779,1.36674259681093,0,0,321
"54",3,3,1.31521711160755,1.30461793331953,0,0,321
"55",3,5,1.28384844522925,1.28390971215573,0,0,321
"56",3,7,1.25848393764991,1.26320149099192,0,0,321
"57",3,9,1.22454206035776,1.26320149099192,0,0,321
"58",3,11,1.20236343295747,1.24249326982812,0,0,321
"59",3,13,1.20610071547519,1.28390971215573,0,0,321
"60",3,15,1.19874868429278,1.26320149099192,0,0,321
"61",3,17,1.07529582735473,1.13895216400911,0,0,321
"62",3,19,1.03951594226697,1.09753572168151,0,0,321
"63",3,21,0.998099499939369,1.0561192793539,0,0,321
"64",3,23,0.977758880334688,1.0354110581901,0,0,321
"65",3,25,0.916798288447164,0.993994615862497,0,0,321
"66",3,27,0.891188713161753,0.952578173534893,0,0,321
"67",3,29,0.83188232829027,0.890453510043487,0,0,321
"68",3,31,0.750519849871545,0.807620625388279,0,0,321
"69",3,33,0.755543737846195,0.828328846552081,0,0,321
"70",3,35,0.747333969692498,0.786912404224477,0,0,321
"71",3,37,1.86184063002004,0.745495961896873,0,0,321
"72",3,39,1.83610852088158,0.745495961896873,0,0,321
"73",3,41,1.7883203181959,0.724787740733071,0,0,321
"74",3,43,1.78972945750585,0.724787740733071,0,0,321
"75",3,45,1.72521538388017,0.683371298405467,0,0,321
"76",3,47,1.63368259565912,0.683371298405467,0,0,321
"77",3,49,1.62363481970982,1.78090702008697,0,0,321
"78",3,51,1.63306992639392,1.78090702008697,0,0,321
"79",4,1,1.59606470277577,1.73949057775937,0,0,321
"80",4,3,1.53455270854957,1.67736591426796,0,0,321
"81",4,5,1.52223805631903,1.65665769310416,0,0,321
"82",4,7,1.50152983515522,1.63594947194036,0,0,321
"83",4,9,1.22858567750809,1.32532615448333,0,0,321
"84",4,11,1.12375796623215,1.18036860633672,0,0,321
"85",4,13,1.21578088986537,1.26320149099192,0,0,321
"86",4,15,1.16321386691111,1.20107682750052,0,0,321
"87",4,17,1.03173504259892,1.0561192793539,0,0,321
"88",4,19,1.05961149416557,1.09753572168151,0,0,321
"89",4,21,1.05703828325173,1.09753572168151,0,0,321
"90",4,23,1.02046192811921,1.0561192793539,0,0,321
"91",4,25,0.99491361976032,1.0354110581901,0,0,321
"92",4,27,0.953497177432716,0.993994615862497,0,0,321
"93",4,29,0.930215745355069,0.973286394698695,0,0,321
"94",4,31,0.932788956268914,0.973286394698695,0,0,321
