"","year","week-of-year","total-fox-density","all-fox-but-cub-density","bait-take","bait-cost","baitefficacy"
"1",1,1,1.69724904950226,1.71878235659557,0.377777777777778,45,0.24
"2",1,3,1.68020600022586,1.69807413543177,0.266666666666667,90,0.24
"3",1,5,1.69120151588806,1.71878235659557,0.266666666666667,135,0.24
"4",1,7,1.6153324578189,1.65665769310416,0.288888888888889,180,0.24
"5",1,9,1.60836863123285,1.63594947194036,0.244444444444444,225,0.24
"6",1,11,1.54734351930766,1.57382480844895,0.466666666666667,270,0.24
"7",1,13,1.48338626987255,1.51170014495755,0.333333333333333,315,0.24
"8",1,15,1.44123679316747,1.44957548146614,0.444444444444444,360,0.24
"9",1,17,1.37993679335072,1.40815903913854,0.177777777777778,405,0.24
"10",1,19,1.33027371427648,1.34603437564713,0.377777777777778,450,0.24
"11",1,21,1.31808701775088,1.34603437564713,0.266666666666667,495,0.24
"12",1,23,1.28116041098534,1.32532615448333,0.288888888888889,540,0.24
"13",1,25,1.23864441709151,1.26320149099192,0.288888888888889,585,0.24
"14",1,27,1.16442468637169,1.18036860633672,0.355555555555556,630,0.24
"15",1,29,1.18036818408188,1.22178504866432,0.311111111111111,675,0.24
"16",1,31,1.16020973870118,1.18036860633672,0.222222222222222,720,0.24
"17",1,33,1.15049703319958,1.18036860633672,0.155555555555556,765,0.24
"18",1,35,1.14371646520789,1.15966038517291,0.133333333333333,810,0.24
"19",1,37,2.42602160902593,1.13895216400911,0.266666666666667,855,0.24
"20",1,39,2.38485841499854,1.15966038517291,0.244444444444444,900,0.24
"21",1,41,2.31115909894759,1.11824394284531,0.222222222222222,945,0.24
"22",1,43,2.18909439382369,1.11824394284531,0.377777777777778,990,0.24
"23",1,45,2.14255706444662,1.07682750051771,0.311111111111111,1035,0.24
"24",1,47,2.11131147410655,1.0354110581901,0.244444444444444,1080,0.24
"25",1,49,2.00657918742411,2.13294677987161,0.422222222222222,1125,0.24
"26",1,51,1.95343419505682,2.11223855870781,0.377777777777778,1170,0.24
"27",2,1,1.92136394104209,2.11223855870781,0.422222222222222,45,0.24
"28",2,3,1.86235467365494,2.0501138952164,0.333333333333333,90,0.24
"29",2,5,1.80865990550455,1.98798923172499,0.333333333333333,135,0.24
"30",2,7,1.77246633311648,1.94657278939739,0.266666666666667,180,0.24
"31",2,9,1.61484279673591,1.73949057775937,0.377777777777778,225,0.24
"32",2,11,1.46716786848907,1.59453302961276,0.288888888888889,270,0.24
"33",2,13,1.41171099846975,1.51170014495755,0.244444444444444,315,0.24
"34",2,15,1.3387740779105,1.44957548146614,0.222222222222222,360,0.24
"35",2,17,1.32972436074823,1.42886726030234,0.311111111111111,405,0.24
"36",2,19,1.30956591536753,1.40815903913854,0.244444444444444,450,0.24
"37",2,21,1.28574229809944,1.38745081797474,0.311111111111111,495,0.24
"38",2,23,1.27282256719636,1.36674259681093,0.377777777777778,540,0.24
"39",2,25,1.26989042968644,1.36674259681093,0.266666666666667,585,0.24
"40",2,27,1.20016053452868,1.28390971215573,0.288888888888889,630,0.24
"41",2,29,1.13821912963163,1.22178504866432,0.2,675,0.24
"42",2,31,1.10110926427172,1.18036860633672,0.222222222222222,720,0.24
"43",2,33,1.09029700720389,1.15966038517291,0.244444444444444,765,0.24
"44",2,35,1.07847682786703,1.15966038517291,0.2,810,0.24
"45",2,37,2.55673227935219,1.11824394284531,0.111111111111111,855,0.24
"46",2,39,2.54967682346896,1.11824394284531,0.266666666666667,900,0.24
"47",2,41,2.52282728847129,1.13895216400911,0.288888888888889,945,0.24
"48",2,43,2.46695578678214,1.07682750051771,0.133333333333333,990,0.24
"49",2,45,2.3964928572469,1.0561192793539,0.155555555555556,1035,0.24
"50",2,47,2.32373919528202,0.993994615862497,0.311111111111111,1080,0.24
"51",2,49,2.27746640020363,2.46427831849244,0.511111111111111,1125,0.24
"52",2,51,2.18977716279761,2.36073721267343,0.488888888888889,1170,0.24
"53",3,1,2.05909141541816,2.21577966452682,0.466666666666667,45,0.24
"54",3,3,2.02692953210624,2.19507144336302,0.422222222222222,90,0.24
"55",3,5,1.96240013729435,2.13294677987161,0.355555555555556,135,0.24
"56",3,7,1.86499819438671,2.0294056740526,0.311111111111111,180,0.24
"57",3,9,1.72498862828799,1.90515634706979,0.422222222222222,225,0.24
"58",3,11,1.61640791112386,1.76019879892317,0.533333333333333,270,0.24
"59",3,13,1.51505551748604,1.63594947194036,0.333333333333333,315,0.24
"60",3,15,1.50470140690414,1.61524125077656,0.333333333333333,360,0.24
"61",3,17,1.39703698271179,1.49099192379375,0.311111111111111,405,0.24
"62",3,19,1.33152203522454,1.42886726030234,0.288888888888889,450,0.24
"63",3,21,1.28103429247563,1.36674259681093,0.333333333333333,495,0.24
"64",3,23,1.24960544354118,1.32532615448333,0.244444444444444,540,0.24
"65",3,25,1.21671052585178,1.30461793331953,0.422222222222222,585,0.24
"66",3,27,1.19600230468797,1.28390971215573,0.311111111111111,630,0.24
