"","year","week","total.fox.density","all.but.cub.density","bait.take","bait.cost","baitefficacy"
"1",1,1,2.39303480640387,2.40215365500104,0.222222222222222,45,0.15
"2",1,3,2.3337506511252,2.34002899150963,0.266666666666667,90,0.15
"3",1,5,2.2563238950039,2.25719610685442,0.444444444444444,135,0.15
"4",1,7,2.16515274430486,2.17436322219921,0.333333333333333,180,0.15
"5",1,9,2.12373630197726,2.13294677987161,0.266666666666667,225,0.15
"6",1,11,2.12373630197726,2.13294677987161,0.222222222222222,270,0.15
"7",1,13,2.08231985964965,2.091530337544,0.311111111111111,315,0.15
"8",1,15,2.01075737854819,2.0294056740526,0.266666666666667,360,0.15
"9",1,17,1.989290367745,1.98798923172499,0.177777777777778,405,0.15
"10",1,19,1.94762479278776,1.94657278939739,0.266666666666667,450,0.15
"11",1,21,1.89759519652476,1.90515634706979,0.266666666666667,495,0.15
"12",1,23,1.89053974064152,1.90515634706979,0.266666666666667,540,0.15
"13",1,25,1.87523764801163,1.88444812590598,0.177777777777778,585,0.15
"14",1,27,1.83382120568403,1.84303168357838,0.288888888888889,630,0.15
"15",1,29,1.79405409070575,1.80161524125078,0.222222222222222,675,0.15
"16",1,31,1.81311298452023,1.82232346241458,0.222222222222222,720,0.15
"17",1,33,1.79661971102693,1.82232346241458,0.244444444444444,765,0.15
"18",1,35,1.75098832102882,1.76019879892317,0.222222222222222,810,0.15
"19",1,37,2.94524644293841,1.71878235659557,0.333333333333333,855,0.15
"20",1,39,2.79534091274379,1.63594947194036,0.288888888888889,900,0.15
"21",1,41,2.7561894475839,1.61524125077656,0.311111111111111,945,0.15
"22",1,43,2.69736343879118,1.55311658728515,0.177777777777778,990,0.15
"23",1,45,2.684901854374,1.55311658728515,0.177777777777778,1035,0.15
"24",1,47,2.5583196950142,1.44957548146614,0.4,1080,0.15
"25",1,49,2.45129667590215,2.52640298198385,0.311111111111111,1125,0.15
"26",1,51,2.36928845492159,2.44357009732864,0.288888888888889,1170,0.15
"27",2,1,2.33719244564495,2.40215365500104,0.355555555555556,45,0.15
"28",2,3,2.22194854504819,2.29861254918203,0.311111111111111,90,0.15
"29",2,5,2.1042965274627,2.17436322219921,0.2,135,0.15
"30",2,7,2.03868995067826,2.11223855870781,0.222222222222222,180,0.15
"31",2,9,2.09648228193999,2.21577966452682,0.244444444444444,225,0.15
"32",2,11,2.02349385085697,2.11223855870781,0.288888888888889,270,0.15
"33",2,13,1.91060655672507,1.96728101056119,0.288888888888889,315,0.15
"34",2,15,1.84784048815336,1.88444812590598,0.177777777777778,360,0.15
"35",2,17,1.76867277538553,1.80161524125078,0.422222222222222,405,0.15
"36",2,19,1.71974273068876,1.73949057775937,0.311111111111111,450,0.15
"37",2,21,1.70920536151249,1.73949057775937,0.244444444444444,495,0.15
"38",2,23,1.65074907026647,1.67736591426796,0.177777777777778,540,0.15
"39",2,25,1.49745325607602,1.51170014495755,0.177777777777778,585,0.15
"40",2,27,1.46290901103729,1.49099192379375,0.2,630,0.15
"41",2,29,1.42295863746464,1.44957548146614,0.2,675,0.15
"42",2,31,1.38135893654266,1.38745081797474,0.222222222222222,720,0.15
"43",2,33,1.30897179176654,1.32532615448333,0.133333333333333,765,0.15
"44",2,35,1.23062874267339,1.24249326982812,0.111111111111111,810,0.15
"45",2,37,2.66084762083325,1.22178504866432,0.133333333333333,855,0.15
"46",2,39,2.58048872720203,1.18036860633672,0.0666666666666667,900,0.15
"47",2,41,2.51946361527687,1.20107682750052,0.155555555555556,945,0.15
"48",2,43,2.35618020769323,1.13895216400911,0.155555555555556,990,0.15
"49",2,45,2.30491573044049,1.11824394284531,0.266666666666667,1035,0.15
"50",2,47,2.25653546152681,1.07682750051771,0.133333333333333,1080,0.15
"51",2,49,2.2060477187779,2.27790432801822,0.288888888888889,1125,0.15
"52",2,51,2.06402230814116,2.13294677987161,0.266666666666667,1170,0.15
"53",3,1,1.98320526802403,2.0501138952164,0.2,45,0.15
"54",3,3,1.83971378863237,1.90515634706979,0.266666666666667,90,0.15
"55",3,5,1.82349540303064,1.90515634706979,0.222222222222222,135,0.15
"56",3,7,1.7883097529116,1.86373990474218,0.244444444444444,180,0.15
"57",3,9,1.65054721911621,1.69807413543177,0.377777777777778,225,0.15
"58",3,11,1.69301170248621,1.71878235659557,0.288888888888889,270,0.15
"59",3,13,1.71289948901983,1.76019879892317,0.244444444444444,315,0.15
"60",3,15,1.65865494508632,1.69807413543177,0.244444444444444,360,0.15
"61",3,17,1.56711727719853,1.61524125077656,0.177777777777778,405,0.15
"62",3,19,1.44689963929184,1.49099192379375,0.222222222222222,450,0.15
"63",3,21,1.39311324184426,1.42886726030234,0.244444444444444,495,0.15
"64",3,23,1.31531996853422,1.34603437564713,0.111111111111111,540,0.15
"65",3,25,1.29925908626495,1.32532615448333,0.133333333333333,585,0.15
"66",3,27,1.24840482632729,1.28390971215573,0.2,630,0.15
"67",3,29,1.23181992353681,1.26320149099192,0.177777777777778,675,0.15
"68",3,31,1.15558434827891,1.18036860633672,0.177777777777778,720,0.15
"69",3,33,1.16536292781579,1.18036860633672,0.155555555555556,765,0.15
"70",3,35,1.13455753909721,1.15966038517291,0.133333333333333,810,0.15
"71",3,37,2.62307059513106,1.15966038517291,0.0888888888888889,855,0.15
"72",3,39,2.65909359605824,1.20107682750052,0.155555555555556,900,0.15
"73",3,41,2.62024277405181,1.20107682750052,0.177777777777778,945,0.15
"74",3,43,2.59055488176387,1.20107682750052,0.133333333333333,990,0.15
"75",3,45,2.50827177289176,1.15966038517291,0.244444444444444,1035,0.15
"76",3,47,2.45695936646819,1.18036860633672,0.266666666666667,1080,0.15
"77",3,49,2.38228148926244,2.52640298198385,0.222222222222222,1125,0.15
"78",3,51,2.25106833569356,2.40215365500104,0.266666666666667,1170,0.15
"79",4,1,2.21991437465068,2.36073721267343,0.266666666666667,45,0.15
"80",4,3,2.18637805188098,2.34002899150963,0.266666666666667,90,0.15
"81",4,5,2.10281213284831,2.25719610685442,0.288888888888889,135,0.15
"82",4,7,2.04270331389497,2.19507144336302,0.177777777777778,180,0.15
"83",4,9,1.95068174425929,2.11223855870781,0.355555555555556,225,0.15
"84",4,11,1.87396226725356,1.94657278939739,0.244444444444444,270,0.15
"85",4,13,1.77930920326149,1.82232346241458,0.333333333333333,315,0.15
"86",4,15,1.72845494332384,1.76019879892317,0.222222222222222,360,0.15
"87",4,17,1.72570606440827,1.76019879892317,0.311111111111111,405,0.15
"88",4,19,1.6548766176843,1.69807413543177,0.2,450,0.15
"89",4,21,1.6341683965205,1.67736591426796,0.222222222222222,495,0.15
"90",4,23,1.5976083069437,1.63594947194036,0.155555555555556,540,0.15
"91",4,25,1.54143954776931,1.57382480844895,0.222222222222222,585,0.15
"92",4,27,1.54629590052012,1.59453302961276,0.288888888888889,630,0.15
"93",4,29,1.54675404700604,1.59453302961276,0.2,675,0.15
"94",4,31,1.52577093795069,1.57382480844895,0.2,720,0.15
"95",4,33,1.44504552713073,1.49099192379375,0.266666666666667,765,0.15
"96",4,35,1.42424567666974,1.47028370262994,0.244444444444444,810,0.15
"97",4,37,2.91184434470676,1.47028370262994,0.2,855,0.15
"98",4,39,2.74156365857146,1.38745081797474,0.133333333333333,900,0.15
"99",4,41,2.66319485421638,1.32532615448333,0.266666666666667,945,0.15
"100",4,43,2.62162090855631,1.32532615448333,0.155555555555556,990,0.15
"101",4,45,2.52082868165287,1.28390971215573,0.177777777777778,1035,0.15
"102",4,47,2.4503399968557,1.28390971215573,0.155555555555556,1080,0.15
"103",4,49,2.40926098305105,2.52640298198385,0.266666666666667,1125,0.15
"104",4,51,2.34542445157889,2.46427831849244,0.333333333333333,1170,0.15
"105",5,1,2.23574418284851,2.36073721267343,0.2,45,0.15
"106",5,3,2.20477348039997,2.34002899150963,0.155555555555556,90,0.15
"107",5,5,2.11506839845589,2.23648788569062,0.4,135,0.15
"108",5,7,2.0589912685787,2.19507144336302,0.288888888888889,180,0.15
"109",5,9,1.91675684408566,2.0294056740526,0.311111111111111,225,0.15
"110",5,11,1.82828306177836,1.90515634706979,0.266666666666667,270,0.15
"111",5,13,1.7665249154757,1.84303168357838,0.2,315,0.15
"112",5,15,1.71484599186338,1.80161524125078,0.2,360,0.15
"113",5,17,1.720043106541,1.80161524125078,0.2,405,0.15
"114",5,19,1.67612691792747,1.71878235659557,0.288888888888889,450,0.15
"115",5,21,1.64423992250711,1.69807413543177,0.133333333333333,495,0.15
"116",5,23,1.61029095293189,1.67736591426796,0.222222222222222,540,0.15
"117",5,25,1.60154524787727,1.65665769310416,0.244444444444444,585,0.15
"118",5,27,1.58037888022754,1.63594947194036,0.222222222222222,630,0.15
"119",5,29,1.56012880554966,1.61524125077656,0.2,675,0.15
"120",5,31,1.52897484450677,1.59453302961276,0.0444444444444444,720,0.15
